Title,Site-URL,Categories
Dance,dance.co,Start-up
Ahotels,ahotels.com.au,Hotel or Venue
ACS Clothing,acsclothing.co.uk,Product Catalogue or Collection
Italic,italic.com,Shop
GT Flexa,gt-flexa.com,Typographic
ECC,ecc.co.nz,Architecture
The Penumbral Age,wiekpolcienia.artmuseum.pl/en,Gallery or Museum
Carol-Anne Ward,carolanneward.com,Minimal
Mailchimp Presents — By the Books,mailchimp.com/presents/by-the-books,Radio & Podcasts
Die Es,die-es.com,Agency or Consultancy
Porter Packaging,porterpackaging.com,Design & Art Direction
Point,point.app,Start-up
Michael McManus Architects,michaelmcmanus.com.au,Agency or Consultancy
Onplace,onplace.app,Mobile & Web Application
Bob Dylan Center,bobdylancenter.com,Gallery or Museum
I Weigh Community,iweighcommunity.com,Editorial
Johnson Partners,johnsonpartners.co,Corporate
Better Half,bttrhlf.com,Agency or Consultancy
Read Me: Magazine,readymag.com/designs/1961938,Editorial
Eight,madebyeight.co,Agency or Consultancy
Esoterica Capital,esotericacap.com,Business & Finance
Neuraal,neuraal.fr,Agency or Consultancy
Highbridge,highbridge.dk,Corporate
FinTech Collective,fintech.io,Business & Finance
Vicarious,vicarious.com,Corporate Site
Metis Foundry,metis-foundry.com,Typographic
Andreas Antonsson,andreasantonsson.dev,Portfolio
Make Me Pulse,makemepulse.com,Animation
Over Covid,overcovid.pointapp.org,Miscellaneous
Tom Parkes,tparkes.com,Portfolio
Patrick Heng,patrickheng.com,Animation
Præsens,praesens.co,Agency or Consultancy
Dunderville,dunderville.se,Agency or Consultancy
Corsa Pizza,corsapizza.dk,"Café, Bar & Restaurant"
See In Black,seeinblack.com,Showcase
Marvin Schwaibold,marvinschwaibold.com,Portfolio
Omsom,omsom.com,"Café, Bar & Restaurant"
Riverlane,riverlane.com,Start-up
Kinfolk,kinfolk.com,Editorial
Centerbrook Architects and Planners,centerbrook.com,Agency or Consultancy
Jeff Staple,jeffstaple.tv,Portfolio
Thomas Prior ,thomasprior.com,Minimal
Unconditional ,unconditionalmagazine.com,Magazine
The Adrian Brinkerhoff Foundation,brinkerhoffpoetry.org,Books & Literature
Enid.fm,enid.fm,Agency or Consultancy
Allies and Morrison,alliesandmorrison.com,Agency or Consultancy
Carr,carr.net.au,Agency or Consultancy
Haxted,haxted.com,Property
Diesel Wynwood,dieselwynwood.miami,Property
100 Days of Poetry,100daysofpoetry.gallery,Project
Wild Fruits,wildfruits.co,Shop
Miista,miista.com/en-eu,Product Catalogue or Collection
Cecile Bortoletti Photography,cecile-bortoletti.com,Minimal
Honext,honextmaterial.com,Miscellaneous
Antwerp Art Weekend – 2020,antwerpartweekend.be,Events
The Counter,thecounter.org,Editorial
Hoare Associates,hoare.associates,Illustrative
LM Chabot,lmchabot.com,Agency or Consultancy
Meet NYU,meet.nyu.edu,"School, College & University"
Officesss,officesss.online,Miscellaneous
Swayed,swayedai.com,Start-up
SMR Days,smrdays.com,Editorial
Suede Bar,suedebar.uk,"Café, Bar & Restaurant"
Gabriel Contassot,gabrielcontassot.com,Portfolio
Liberty London,libertylondon.com,Shop
 Take,takeagency.com,Agency or Consultancy
Stephanie Jeong,jeongsteph.design,Portfolio
Creative Review,creativereview.co.uk,Magazine
Justified Studio,justified.studio,Agency or Consultancy
Stefanie Nelson Dancegroup,sndancegroup.org,Dance
Svea Solar,sveasolar.com,Technology
Spotify Design,spotify.design,Web & Interactive Design
Postcards from Isolation,isolation.is,Miscellaneous
Framer,framer.com,Mobile & Web Application
Rekki,rekki.com,Mobile & Web Application
Maison Cacao,maisoncacao.com,Food & Drink
StudioChevojon,studiochevojon.com,Portfolio
Inrehearsal,inrehearsal.com,Business & Finance
SDG Action Lab,sdgactionlab.no,Business & Finance
Bee Home,beehome.design,Miscellaneous
Decade,decadenewyork.com,Agency or Consultancy
Nonymous,nonymous.com,Black and White
TeTuhi,tetuhi.art,Gallery or Museum
Feed Feed,feedfeed.com.au,Reference or Directory
Rosendahl DK,rosendahl.dk,Shop
